row ID,Peak m/z,Peak RT,Peak Height
789,336.1027222,14.968497,3.18E+07
299,238.1055832,14.985787,8885556
290,237.1022491,15.003078,5.43E+07
300,238.1055908,15.003078,8525002
790,336.1027527,15.003078,2.77E+07
291,237.1021881,15.029018,4.68E+07
1059,455.3213196,15.080893,9147454
848,355.0560913,15.098187,6.79E+07
851,356.0593872,15.098187,7503351
1060,455.3213348,15.098187,1.05E+07
853,357.0518341,15.124124,9504223
987,411.2950439,15.124124,1.70E+07
1029,433.2770691,15.13277,8217050
852,356.0594177,15.141416,6965098
849,355.0560913,15.158708,6.11E+07
988,411.295105,15.158708,1.78E+07
878,367.2688599,15.176001,2.44E+07
937,384.2953796,15.176001,7003757.5
950,389.2507324,15.176001,1.20E+07
989,411.2951202,15.193291,1.55E+07
938,384.2954407,15.201939,7615890
951,389.2507935,15.201939,1.34E+07
993,414.1076813,15.201939,5.07E+07
999,415.1109924,15.201939,8066651
828,342.173172,15.210583,1.37E+07
831,343.2953186,15.210583,1.99E+07
879,367.2688751,15.210583,2.74E+07
829,342.1731415,15.236522,1.42E+07
952,389.2507019,15.236522,1.17E+07
994,414.1075897,15.236522,4.83E+07
1000,415.1109009,15.236522,7872992
880,367.2688293,15.245168,2.70E+07
939,384.2953491,15.245168,7484850.5
830,342.1732178,15.271106,1.29E+07
1017,423.1693115,15.288397,7.40E+07
1018,424.1725769,15.288397,1.74E+07
1020,425.1662903,15.288397,2.40E+07
1019,424.1726837,15.314337,1.60E+07
716,324.2459869,15.331631,6597909
835,345.2245789,15.331631,1.50E+07
703,323.2426453,15.340274,3.51E+07
813,340.2692261,15.340274,7784901
704,323.2427216,15.366212,3.77E+07
717,324.2460938,15.366212,6477571
814,340.2693176,15.366212,8391164
836,345.2246704,15.366212,1.60E+07
705,323.2426453,15.383506,3.73E+07
837,345.2245789,15.383506,1.58E+07
654,315.0659637,15.39215,9672532
718,324.2460327,15.400795,6619900
535,296.0254211,15.426735,7507908
655,315.0659485,15.426735,8897145
526,295.0220947,15.444027,7.52E+07
542,297.0178833,15.444027,6781716.5
815,340.2691956,15.444027,7933106.5
838,345.2245483,15.444027,1.47E+07
536,296.0254211,15.452673,8468539
527,295.0220947,15.47861,7.19E+07
543,297.0178528,15.47861,6244722
456,279.2164917,15.504548,2.75E+07
569,301.1983643,15.521841,7011323.5
457,279.2164307,15.530487,3.04E+07
458,279.2164612,15.547779,3.10E+07
570,301.1983337,15.565073,7662321.5
505,291.1800079,15.573716,1.17E+07
1037,441.1669006,15.582362,5.42E+07
1038,442.1701965,15.582362,1.28E+07
506,291.180069,15.599654,1.08E+07
507,291.180069,15.651531,1.09E+07
320,242.1433411,15.677469,1.14E+07
321,242.1433258,15.694762,1.12E+07
322,242.1433487,15.737992,1.07E+07
1162,557.38974,15.763929,1.41E+07
1163,557.3896179,15.781221,1.31E+07
1122,514.3668213,15.789867,5692179.5
1151,535.3454895,15.789867,1.08E+07
1119,513.3635254,15.807161,2.43E+07
1138,530.3900757,15.807161,7092333
573,302.1097717,15.815806,1.20E+08
1152,535.3453674,15.815806,1.20E+07
577,303.1131134,15.824454,2.17E+07
1123,514.3666992,15.824454,6112769
1120,513.3634338,15.833098,2.38E+07
1139,530.3899231,15.833098,7187198.5
574,302.1097412,15.841744,1.20E+08
578,303.1130371,15.841744,2.16E+07
514,293.0262146,15.850392,7080866.5
1121,513.3634033,15.867681,2.16E+07
1124,514.3666992,15.867681,5656683.5
499,291.0304565,15.876329,5.23E+07
1079,469.3370819,15.876329,3.91E+07
1095,486.3636017,15.876329,1.14E+07
1098,491.3190002,15.876329,1.99E+07
515,293.0262299,15.884973,7017060
500,291.0304413,15.893621,5.26E+07
1096,486.3635712,15.893621,1.18E+07
1082,470.3403931,15.910913,9533171
516,293.0262451,15.919559,6287066
902,376.13414,15.919559,1.19E+07
1080,469.3370819,15.919559,4.03E+07
1099,491.3189087,15.93685,1.71E+07
903,376.1341248,15.945496,1.28E+07
1081,469.3370056,15.954144,3.52E+07
1097,486.3635559,15.954144,1.12E+07
1100,491.3189087,15.954144,1.87E+07
1025,426.3139343,15.997373,1.25E+07
1039,442.3373108,15.997373,1.58E+07
1021,425.3106689,16.006021,6.06E+07
441,278.018219,16.014665,5979035
1007,418.0135651,16.023311,1.74E+07
1022,425.3107147,16.023311,5.94E+07
1026,426.3140717,16.023311,1.27E+07
1040,442.3373718,16.023311,1.46E+07
436,277.0148621,16.031959,8.20E+07
451,279.0106506,16.031959,1.16E+07
442,278.0182037,16.040603,6439431
1015,420.0105591,16.040603,1.20E+07
257,228.1958008,16.057896,2.02E+07
443,278.0181885,16.057896,6228327.5
1008,418.0136108,16.057896,1.95E+07
1023,425.3106384,16.057896,5.82E+07
1027,426.3140106,16.057896,1.36E+07
1041,442.337326,16.057896,1.61E+07
258,228.1958237,16.075186,2.10E+07
437,277.0149536,16.075186,7.57E+07
452,279.0106354,16.075186,9837305
1009,418.0136414,16.083834,1.83E+07
444,278.0182495,16.09248,5615515
1016,420.0105591,16.09248,1.18E+07
1024,425.31073,16.09248,5.87E+07
1028,426.3140564,16.09248,1.32E+07
1042,442.3373718,16.09248,1.48E+07
924,381.2844543,16.118417,6.32E+07
927,382.2877808,16.118417,1.29E+07
928,382.2878418,16.135711,1.36E+07
925,381.2844849,16.161648,6.66E+07
968,398.3111572,16.161648,1.68E+07
977,403.2664642,16.161648,2.90E+07
929,382.2878723,16.187586,1.40E+07
926,381.2845612,16.196232,6.53E+07
969,398.3111877,16.196232,1.71E+07
982,404.2698517,16.196232,6556021
893,374.2584839,16.204878,6942719
930,382.2878723,16.204878,1.41E+07
978,403.2665405,16.204878,3.28E+07
464,281.1575623,16.222169,6.03E+07
