InChIKey,Height,Area,RT,Actual RT,RT Delta,m/z (Expected),m/z (Apex),m/z (Delta) (ppm),"Integration Mode (Manual 0, Method 1)","PK (Fail 0, Pass 1)","Confirm (Confirmed 1, Not Found 0)"
QFOHBWFCKVYLES-UHFFFAOYSA-N,133224,1496335,17.35,17.4,0.05,195.1,195.1,1.68,1,1,1
SDQFDHOLCGWZPU-UHFFFAOYSA-N,0,0,17.17,0,0,205.16,0,0,0,0,0
KXRPCFINVWWFHQ-UHFFFAOYSA-N,39206,201065,20.21,20.37,0.16,271.09,271.1,0.75,1,1,1
HTQMVQVXFRQIKW-UHFFFAOYSA-N,21295,33824,15.58,15.63,0.05,441.17,441.17,-2.02,1,1,1
GAGWJHPBXLXJQN-UORFTKCHSA-N,91332,756120,13.86,13.91,0.05,360.16,360.16,-2.16,1,1,1
FFGPTBGBLSHEPO-UHFFFAOYSA-N,23089,36677,15.02,14.9,-0.12,237.1,237.1,0.55,1,1,1
CVXBEEMKQHEXEN-UHFFFAOYSA-N,21017,33383,16.46,16.54,0.08,202.09,202.09,2.63,1,1,1
DUEPRVBVGDRKAG-UHFFFAOYSA-N,38737,61531,16,15.94,-0.06,222.11,222.11,0.9,1,1,1
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,0,0,16.87,0,0,236.07,0,0,0,0,0
MLKCGVHIFJBRCD-UHFFFAOYSA-N,0,0,19.32,0,0,412.04,0,0,1,0,0
RXDMAYSSBPYBFW-UHFFFAOYSA-N,3300,7312,19.75,19.91,0.16,334.05,N/A,0,1,1,1
ULDHMXUKGWMISQ-UHFFFAOYSA-N,0,0,18.02,0,0,151.11,0,0,0,0,0
ZKLPARSLTMPFCP-UHFFFAOYSA-N,0,0,12.99,0,0,389.16,0,0,1,0,0
ULBXWWGWDPVHAO-UHFFFAOYSA-N,0,0,18.35,0,0,224.05,0,0,1,0,0
FSAVDKDHPDSCTO-WQLSENKSSA-N,8123,17998,19.35,19.43,0.08,358.98,N/A,0,1,1,1
WYKYKTKDBLFHCY-UHFFFAOYSA-N,0,0,13.11,0,0,222.04,0,0,1,0,0
NSWAMPCUPHPTTC-UHFFFAOYSA-N,0,0,17.87,0,0,415.05,0,0,1,0,0
JXCGFZXSOMJFOA-UHFFFAOYSA-N,0,0,16.37,0,0,213.08,0,0,1,0,0
CWJSHJJYOPWUGX-UHFFFAOYSA-N,4892,7771,18.82,18.89,0.07,214.06,214.06,1.34,1,1,1
MVBQDGXKSNBAPH-UHFFFAOYSA-N,0,0,21.4,0,0,536.13,0,0,1,0,0
WMLPCIHUFDKWJU-UHFFFAOYSA-N,0,0,15.21,0,0,414.11,0,0,1,0,0
MYSWGUAQZAJSOK-UHFFFAOYSA-N,4712,7484,9.76,9.51,-0.25,332.14,332.14,4.88,1,1,1
TVYLLZQTGLZFBW-ZBFHGGJFSA-N,13407,68259,10.1,10.07,-0.03,264.2,264.2,0.77,1,1,1
