InChIKey,Height,Area,RT,Actual RT,RT Delta,m/z (Expected),m/z (Apex),m/z (Delta) (ppm),"Integration Mode (Manual 0, Method 1)","PK (Fail 0, Pass 1)","Confirm (Confirmed 1, Not Found 0)"
IQGKIPDJXCAMSM-UHFFFAOYSA-N,0,0,14.4,0,0,248.03,0,0,1,0,0
STCOOQWBFONSKY-UHFFFAOYSA-N,563782,2487268,19.82,19.91,0.09,267.17,267.17,1.13,1,1,1
WOURXYYHORRGQO-UHFFFAOYSA-N,6913006,61562516,17.72,17.6,-0.12,327.01,327.01,0.21,1,1,1
ICUTUKXCWQYESQ-UHFFFAOYSA-N,0,0,20.46,0,0,314.99,0,0,1,0,0
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,0,0,21.53,0,0,369.13,0,0,1,0,0
YTOPFCCWCSOHFV-UHFFFAOYSA-N,91536,956974,14.03,13.7,-0.33,298.31,298.31,1.18,0,1,1
HFBWPRKWDIRYNX-UHFFFAOYSA-N,143931,1207234,19.19,19.24,0.05,230.12,230.12,1.46,1,1,1
DQWPFSLDHJDLRL-UHFFFAOYSA-N,0,0,13.5,0,0,183.08,0,0,0,0,0
ONCZDRURRATYFI-QTCHDTBASA-N,1608,3547,20.48,20.62,0.14,409.14,409.14,-0.2,1,1,1
XAIPTRIXGHTTNT-UHFFFAOYSA-N,0,0,19.53,0,0,359.04,0,0,1,0,0
IEDVJHCEMCRBQM-UHFFFAOYSA-N,4615,7331,9.18,8.99,-0.19,291.15,291.15,0.74,1,1,1
DBGVGMSCBYYSLD-UHFFFAOYSA-N,0,0,20.18,0,0,291.11,0,0,1,0,0
DFFWZNDCNBOKDI-KTKRTIGZSA-N,0,0,14.09,0,0,225.08,0,0,1,0,0
XZZNDPSIHUTMOC-UHFFFAOYSA-N,140059,586126,19.87,19.99,0.12,327.08,327.08,0.35,1,1,1
XBRCDWHXULVEFB-UHFFFAOYSA-N,0,0,22.3,0,0,351.02,0,0,1,0,0
WTLBZVNBAKMVDP-UHFFFAOYSA-N,5851776,26840790,20.47,20.65,0.18,399.25,399.25,0.36,0,1,1
HRKAMJBPFPHCSD-UHFFFAOYSA-N,2674461,12665559,19.95,20.06,0.11,267.17,267.17,1.02,0,1,1
ASLWPAWFJZFCKF-UHFFFAOYSA-N,0,0,19.17,0,0,428.89,0,0,1,0,0
PPDBOQMNKNNODG-NTEUORMPSA-N,0,0,17.58,0,0,318.14,0,0,1,0,0
YNWVFADWVLCOPU-MDWZMJQESA-N,21359,115912,18.15,18.09,-0.06,292.12,292.12,0.85,1,1,1
NIJJYAXOARWZEE-UHFFFAOYSA-N,0,0,17.07,0,0,145.12,0,0,0,0,0
ACWBQPMHZXGDFX-QFIPXVFZSA-N,131414,967317,16.98,17,0.02,436.23,436.23,-1.13,1,1,1
MWOOGOJBHIARFG-UHFFFAOYSA-N,0,0,12.58,0,0,153.05,0,0,0,0,0
PNVNVHUZROJLTJ-UHFFFAOYSA-N,0,0,10.96,0,0,278.21,0,0,0,0,0
SGTNSNPWRIOYBX-UHFFFAOYSA-N,271652,2889229,12.13,11.85,-0.28,455.29,455.29,0.15,0,1,1
PJVWKTKQMONHTI-UHFFFAOYSA-N,0,0,17.42,0,0,309.11,0,0,0,0,0
